ID,CREATED,TYPE,EMAIL_CAMPAIGN_ID,RECIPIENT,SENT_BY_CREATED,SENT_BY_ID
33581063-e55a-3c29-ada2-f20622b10f08,2022-10-14 18:22:21.447 +0000,DELIVERED,229758957,kira.furuichi@stitchindustries.com,2022-10-14 18:21:01.274 +0000,99dd35e7-3c5c-440b-b4ec-d6b7b3a583d7
99dd35e7-3c5c-440b-b4ec-d6b7b3a583d7,2022-10-14 18:21:01.274 +0000,SENT,229758957,kira.furuichi@stitchindustries.com,2022-10-14 18:21:01.274 +0000,99dd35e7-3c5c-440b-b4ec-d6b7b3a583d7
24f88753-51a0-3d48-b122-2583717cdfb3,2022-10-13 08:01:40.485 +0000,DELIVERED,229434064,kira.furuichi@stitchindustries.com,2022-10-13 08:00:40.347 +0000,6a08648e-59f6-4752-80ca-aafdc1a84d5d
6a08648e-59f6-4752-80ca-aafdc1a84d5d,2022-10-13 08:00:40.347 +0000,SENT,229434064,kira.furuichi@stitchindustries.com,2022-10-13 08:00:40.347 +0000,6a08648e-59f6-4752-80ca-aafdc1a84d5d
08f90b26-e7fa-349b-abdf-4ae2c8543942,2022-09-28 08:03:55.682 +0000,DELIVERED,227454789,kira.furuichi@stitchindustries.com,2022-09-28 08:03:12.865 +0000,b01c02cf-150c-4923-a96c-e8fcacbe422a
b01c02cf-150c-4923-a96c-e8fcacbe422a,2022-09-28 08:03:12.865 +0000,SENT,227454789,kira.furuichi@stitchindustries.com,2022-09-28 08:03:12.865 +0000,b01c02cf-150c-4923-a96c-e8fcacbe422a
8a8b6e46-f90f-3c64-960e-57fa59596b08,2022-09-15 09:07:49.090 +0000,DELIVERED,226036423,kira.furuichi@stitchindustries.com,2022-09-15 09:06:18.480 +0000,57c767aa-84bd-4871-95ff-a9ca0ecd5997
57c767aa-84bd-4871-95ff-a9ca0ecd5997,2022-09-15 09:06:18.480 +0000,SENT,226036423,kira.furuichi@stitchindustries.com,2022-09-15 09:06:18.480 +0000,57c767aa-84bd-4871-95ff-a9ca0ecd5997
8349d524-1de5-3611-8c4a-9bf0b4ef2efe,2022-08-31 14:42:44.971 +0000,DELIVERED,224554548,kira.furuichi@stitchindustries.com,2022-08-31 14:41:10.435 +0000,becf76f9-6700-493b-960b-f5f871ec46b7
becf76f9-6700-493b-960b-f5f871ec46b7,2022-08-31 14:41:10.435 +0000,SENT,224554548,kira.furuichi@stitchindustries.com,2022-08-31 14:41:10.435 +0000,becf76f9-6700-493b-960b-f5f871ec46b7
81fab830-e39a-3057-921c-1f86a9257f24,2022-08-18 07:03:33.589 +0000,DELIVERED,223113146,kira.furuichi@stitchindustries.com,2022-08-18 07:03:11.716 +0000,9f28f4b1-e4a5-49e3-9aa4-33a77833d59c
9f28f4b1-e4a5-49e3-9aa4-33a77833d59c,2022-08-18 07:03:11.716 +0000,SENT,223113146,kira.furuichi@stitchindustries.com,2022-08-18 07:03:11.716 +0000,9f28f4b1-e4a5-49e3-9aa4-33a77833d59c
f562fb34-6710-3d68-af59-58f6d6c9a9d2,2022-08-11 13:03:20.024 +0000,DELIVERED,222461832,kira.furuichi@stitchindustries.com,2022-08-11 13:00:32.245 +0000,055e2367-dc00-4fcf-a1f6-4f331508bc11
055e2367-dc00-4fcf-a1f6-4f331508bc11,2022-08-11 13:00:32.245 +0000,SENT,222461832,kira.furuichi@stitchindustries.com,2022-08-11 13:00:32.245 +0000,055e2367-dc00-4fcf-a1f6-4f331508bc11
2963e1a8-5eb2-3ddf-a59b-5aa76869b717,2022-07-28 13:22:31.502 +0000,DELIVERED,221103603,kira.furuichi@stitchindustries.com,2022-07-28 13:18:09.984 +0000,f16404c5-4c54-4428-a0e3-5f119d1da07a
f16404c5-4c54-4428-a0e3-5f119d1da07a,2022-07-28 13:18:09.984 +0000,SENT,221103603,kira.furuichi@stitchindustries.com,2022-07-28 13:18:09.984 +0000,f16404c5-4c54-4428-a0e3-5f119d1da07a
c196edf3-d3fa-3d02-a4d2-62207100261a,2022-07-14 07:01:57.013 +0000,DELIVERED,219523498,kira.furuichi@stitchindustries.com,2022-07-14 07:00:14.751 +0000,c9106e50-516d-4bfb-be4a-139bd15b2542
c9106e50-516d-4bfb-be4a-139bd15b2542,2022-07-14 07:00:14.751 +0000,SENT,219523498,kira.furuichi@stitchindustries.com,2022-07-14 07:00:14.751 +0000,c9106e50-516d-4bfb-be4a-139bd15b2542
494c9380-9500-393d-bc13-fd98ff643d87,2022-05-20 15:37:25.176 +0000,DELIVERED,213785782,kira.furuichi@stitchindustries.com,2022-05-20 15:35:23.957 +0000,fb15a29b-103c-400d-891b-130788d26f3e
fb15a29b-103c-400d-891b-130788d26f3e,2022-05-20 15:35:23.957 +0000,SENT,213785782,kira.furuichi@stitchindustries.com,2022-05-20 15:35:23.957 +0000,fb15a29b-103c-400d-891b-130788d26f3e
3564a424-5eab-3bae-9d3c-6471700e5f21,2022-05-18 10:01:39.367 +0000,DELIVERED,213358427,kira.furuichi@stitchindustries.com,2022-05-18 10:00:50.796 +0000,baf0701b-e710-4930-9f1b-3e0ca6bcf792
baf0701b-e710-4930-9f1b-3e0ca6bcf792,2022-05-18 10:00:50.796 +0000,SENT,213358427,kira.furuichi@stitchindustries.com,2022-05-18 10:00:50.796 +0000,baf0701b-e710-4930-9f1b-3e0ca6bcf792
f9f1c52f-52ac-3b6f-83e6-67898500d1b8,2022-04-29 10:01:44.281 +0000,DELIVERED,211423985,kira.furuichi@stitchindustries.com,2022-04-29 10:00:29.499 +0000,1de6ed82-38b1-4b62-bb51-9eac8b285bdd
